name,peak_coeff,est,lower_ci,upper_ci,successes,trials,scenario,simulation
A,0.8,1,-1,1,7,7,"BASE - Delta: 10, 1/10 ",37
B,0.8,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",37
A,0.9,1,-1,1,11,11,"BASE - Delta: 10, 1/10 ",37
B,0.9,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",37
A,1,-1,-1,-1,13,14,"BASE - Delta: 10, 1/10 ",37
B,1,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",37
A,0.7,0.8,0.109967765943609,0.994942842911076,9,10,"BASE - Delta: 10, 1/10 ",38
B,0.7,1,-0.95,1,1,1,"BASE - Delta: 10, 1/10 ",38
A,0.8,0.833333333333333,0.230407669698112,0.99578481353628,11,12,"BASE - Delta: 10, 1/10 ",38
B,0.8,0,-0.97484176581315,0.97484176581315,1,2,"BASE - Delta: 10, 1/10 ",38
A,0.9,0.846153846153846,0.279405129464245,0.996108743005307,12,13,"BASE - Delta: 10, 1/10 ",38
B,0.9,0,-0.97484176581315,0.97484176581315,1,2,"BASE - Delta: 10, 1/10 ",38
A,1,0.846153846153846,0.279405129464245,0.996108743005307,12,13,"BASE - Delta: 10, 1/10 ",38
B,1,0,-0.97484176581315,0.97484176581315,1,2,"BASE - Delta: 10, 1/10 ",38
A,0.7,1,0.261166704894362,1,8,8,"BASE - Delta: 10, 1/10 ",39
